jane
austen
volume
chapter
emma
woodhouse,
handsome,
clever,
rich,
comfortable
home
happy
disposition,
seemed
unite
best
blessings
existence;
lived
nearly
twenty-one
years
world
little
distress
vex
her.
youngest
two
daughters
affectionate,
indulgent
father;
had,
consequence
sister's
marriage,
mistress
house
early
period.
mother
died
long
ago
indistinct
remembrance
caresses;
place
supplied
excellent
woman
governess,
fallen
short
affection.
sixteen
miss
taylor
mr.
woodhouse's
family,
less
governess
friend,
fond
daughters,
particularly
emma.
intimacy
sisters.
even
ceased
hold
nominal
office
mildness
temper
hardly
allowed
impose
restraint;
shadow
authority
passed
away,
living
together
friend
mutually
attached,
liked;
highly
esteeming
taylor's
judgment,
directed
chiefly
own.
real
evils,
indeed,
emma's
situation
power
rather
much
way,
disposition
think
well
herself;
disadvantages
threatened
alloy
many
enjoyments.
danger,
however,
present
unperceived,
means
rank
misfortunes
sorrow
came--a
gentle
sorrow--but
shape
disagreeable
consciousness.--miss
married.
loss
first
brought
grief.
wedding-day
beloved
sat
mournful
thought
continuance.
wedding
over,
bride-people
gone,
father
left
dine
together,
prospect
third
cheer
evening.
composed
sleep
dinner,
usual,
sit
lost.
event
every
promise
happiness
friend.
weston
man
unexceptionable
character,
easy
fortune,
suitable
age,
pleasant
manners;
satisfaction
considering
self-denying,
generous
friendship
always
wished
promoted
match;
black
morning's
work
want
would
felt
hour
day.
recalled
past
kindness--the
kindness,
affection
years--how
taught
played
five
old--how
devoted
powers
attach
amuse
health--and
nursed
various
illnesses
childhood.
large
debt
gratitude
owing
here;
intercourse
last
seven
years,
equal
footing
perfect
unreserve
soon
followed
isabella's
other,
yet
dearer,
tenderer
recollection.
companion
possessed:
intelligent,
well-informed,
useful,
gentle,
knowing
ways
interested
concerns,
peculiarly
herself,
pleasure,
scheme
hers--one
could
speak
arose,
never
find
fault.
bear
change?--it
true
going
half
mile
them;
aware
great
must
difference
mrs.
weston,
them,
house;
advantages,
natural
domestic,
danger
suffering
intellectual
solitude.
dearly
loved
father,
meet
conversation,
rational
playful.
evil
actual
disparity
ages
woodhouse
married
early)
increased
constitution
habits;
valetudinarian
life,
without
activity
mind
body,
older
years;
though
everywhere
friendliness
heart
amiable
temper,
talents
recommended
time.
sister,
